Season,Competition,Matchday,Date,Venue,Club,Opponent,Match_Result,Playing_Position,Type,Goal_assist,Total_Minutes_Match_Played,Ronaldo Team Goals,Opponent Team Goals
18/19,Serie A,Early Rounds,12/29/18,Home,Juventus FC,UC Sampdoria,2-01,LW,Right-footed shot,Paulo Dybala,2.0,2,01
18/19,Serie A,Early Rounds,12/29/18,Home,Juventus FC,UC Sampdoria,2-01,LW,Penalty,Unknown,65.0,2,01
18/19,Supercoppa Italiana,Final,1/16/19,Home,Juventus FC,AC Milan,1-00,LW,Header,Miralem Pjanic,61.0,1,00
18/19,Serie A,Early Rounds,1/27/19,Away,Juventus FC,SS Lazio,1-02,LW,Penalty,Unknown,88.0,1,02
18/19,Serie A,Early Rounds,02/02/19,Home,Juventus FC,Parma Calcio 1913,3-03,LW,Right-footed shot,Blaise Matuidi,36.0,3,03
18/19,Serie A,Early Rounds,02/02/19,Home,Juventus FC,Parma Calcio 1913,3-03,LW,Header,Mario Mandzukic,66.0,3,03
18/19,Serie A,Early Rounds,02/10/19,Away,Juventus FC,US Sassuolo,0-03,LW,Header,Miralem Pjanic,70.0,0,03
18/19,Serie A,Early Rounds,2/15/19,Home,Juventus FC,Frosinone Calcio,3-00,LW,Right-footed shot,Mario Mandzukic,63.0,3,00
18/19,UEFA Champions League,Last 16,03/12/19,Home,Juventus FC,Atletico de Madrid,3-00,CF,Header,Federico Bernardeschi,27.0,3,00
18/19,UEFA Champions League,Last 16,03/12/19,Home,Juventus FC,Atletico de Madrid,3-00,CF,Header,JoÃ£o Cancelo,49.0,3,00
18/19,UEFA Champions League,Last 16,03/12/19,Home,Juventus FC,Atletico de Madrid,3-00,CF,Penalty,Unknown,86.0,3,00
18/19,UEFA Champions League,Quarter-Finals,04/10/19,Away,Juventus FC,Ajax Amsterdam,1-01,LW,Header,JoÃ£o Cancelo,45.0,1,01
18/19,UEFA Champions League,Quarter-Finals,4/16/19,Home,Juventus FC,Ajax Amsterdam,1-02,LW,Header,Miralem Pjanic,28.0,1,02
18/19,Serie A,Early Rounds,4/27/19,Away,Juventus FC,Inter Milan,1-01,CF,Left-footed shot,Miralem Pjanic,62.0,1,01
18/19,Serie A,Early Rounds,05/03/19,Home,Juventus FC,Torino FC,1-01,CF,Header,Leonardo Spinazzola,84.0,1,01
19/20,Serie A,Early Rounds,8/31/19,Home,Juventus FC,SSC Napoli,4-03,LW,Left-footed shot,Douglas Costa,62.0,4,03
19/20,Serie A,Early Rounds,9/21/19,Home,Juventus FC,Hellas Verona,2-01,LW,Penalty,Unknown,49.0,2,01
19/20,Serie A,Early Rounds,9/28/19,Home,Juventus FC,SPAL,2-00,CF,Header,Paulo Dybala,78.0,2,00
19/20,UEFA Champions League,Group Stage,10/01/19,Home,Juventus FC,Bayer 04 Leverkusen,3-00,CF,Right-footed shot,Paulo Dybala,89.0,3,00
19/20,Serie A,Early Rounds,10/19/19,Home,Juventus FC,Bologna FC 1909,2-01,CF,Right-footed shot,Unknown,19.0,2,01
19/20,Serie A,Early Rounds,10/30/19,Home,Juventus FC,Genoa CFC,2-01,CF,Penalty,Unknown,96.0,2,01
19/20,Serie A,Early Rounds,12/01/19,Home,Juventus FC,US Sassuolo,2-02,CF,Penalty,Unknown,68.0,2,02
19/20,Serie A,Early Rounds,12/07/19,Away,Juventus FC,SS Lazio,3-01,CF,Tap-in,Rodrigo Bentancur,25.0,3,01
19/20,UEFA Champions League,Group Stage,12/11/19,Away,Juventus FC,Bayer 04 Leverkusen,0-02,CF,Right-footed shot,Paulo Dybala,75.0,0,02
19/20,Serie A,Early Rounds,12/15/19,Home,Juventus FC,Udinese Calcio,3-01,CF,Right-footed shot,Unknown,9.0,3,01
19/20,Serie A,Early Rounds,12/15/19,Home,Juventus FC,Udinese Calcio,3-01,CF,Left-footed shot,Gonzalo Higuain,37.0,3,01
19/20,Serie A,Early Rounds,12/18/19,Away,Juventus FC,UC Sampdoria,1-02,LW,Header,Alex Sandro,45.0,1,02
19/20,Serie A,Early Rounds,01/06/20,Home,Juventus FC,Cagliari Calcio,4-00,CF,Right-footed shot,Unknown,49.0,4,00
19/20,Serie A,Early Rounds,01/06/20,Home,Juventus FC,Cagliari Calcio,4-00,CF,Penalty,Unknown,67.0,4,00
19/20,Serie A,Early Rounds,01/06/20,Home,Juventus FC,Cagliari Calcio,4-00,CF,Left-footed shot,Douglas Costa,82.0,4,00
19/20,Serie A,Early Rounds,01/12/20,Away,Juventus FC,AS Roma,1-02,CF,Penalty,Unknown,10.0,1,02
19/20,Serie A,Early Rounds,1/19/20,Home,Juventus FC,Parma Calcio 1913,2-01,CF,Deflected shot on goal,Blaise Matuidi,43.0,2,01
19/20,Serie A,Early Rounds,1/19/20,Home,Juventus FC,Parma Calcio 1913,2-01,CF,Right-footed shot,Paulo Dybala,58.0,2,01
19/20,Italy Cup,Quarter-Finals,1/22/20,Home,Juventus FC,AS Roma,3-01,LW,Left-footed shot,Gonzalo Higuain,26.0,3,01
19/20,Serie A,Early Rounds,1/26/20,Away,Juventus FC,SSC Napoli,2-01,LW,Right-footed shot,Rodrigo Bentancur,90.0,2,01
19/20,Serie A,Early Rounds,02/02/20,Home,Juventus FC,ACF Fiorentina,3-00,LW,Penalty,Unknown,40.0,3,00
19/20,Serie A,Early Rounds,02/02/20,Home,Juventus FC,ACF Fiorentina,3-00,LW,Penalty,Unknown,80.0,3,00
19/20,Serie A,Early Rounds,02/08/20,Away,Juventus FC,Hellas Verona,2-01,LW,Right-footed shot,Rodrigo Bentancur,65.0,2,01
19/20,Italy Cup,Semi-Finals,2/13/20,Away,Juventus FC,AC Milan,1-01,LW,Penalty,Unknown,91.0,1,01
19/20,Serie A,Early Rounds,2/22/20,Away,Juventus FC,SPAL,1-02,LW,Tap-in,Juan Cuadrado,39.0,1,02
19/20,Serie A,Early Rounds,6/22/20,Away,Juventus FC,Bologna FC 1909,0-02,LW,Penalty,Unknown,23.0,0,02
19/20,Serie A,Early Rounds,6/26/20,Home,Juventus FC,US Lecce,4-00,LW,Penalty,Unknown,62.0,4,00
19/20,Serie A,Early Rounds,6/30/20,Away,Juventus FC,Genoa CFC,1-03,LW,Long distance kick,Miralem Pjanic,56.0,1,03
19/20,Serie A,Early Rounds,07/04/20,Home,Juventus FC,Torino FC,4-01,LW,Direct free kick,Unknown,61.0,4,01
19/20,Serie A,Early Rounds,07/07/20,Away,Juventus FC,AC Milan,4-02,LW,Left-footed shot,Juan Cuadrado,53.0,4,02
19/20,Serie A,Early Rounds,07/11/20,Home,Juventus FC,Atalanta BC,2-02,LW,Penalty,Unknown,55.0,2,02
19/20,Serie A,Early Rounds,07/11/20,Home,Juventus FC,Atalanta BC,2-02,LW,Penalty,Unknown,90.0,2,02
19/20,Serie A,Early Rounds,7/20/20,Home,Juventus FC,SS Lazio,2-01,LW,Penalty,Unknown,51.0,2,01
19/20,Serie A,Early Rounds,7/20/20,Home,Juventus FC,SS Lazio,2-01,LW,Counter attack goal,Paulo Dybala,54.0,2,01
19/20,Serie A,Early Rounds,7/26/20,Home,Juventus FC,UC Sampdoria,2-00,LW,Right-footed shot,Miralem Pjanic,52.0,2,00
19/20,UEFA Champions League,Last 16,08/07/20,Home,Juventus FC,Olympique Lyon,2-01,LW,Penalty,Unknown,43.0,2,01
19/20,UEFA Champions League,Last 16,08/07/20,Home,Juventus FC,Olympique Lyon,2-01,LW,Left-footed shot,Federico Bernardeschi,60.0,2,01
20/21,Serie A,Early Rounds,9/20/20,Home,Juventus FC,UC Sampdoria,3-00,CF,Right-footed shot,Aaron Ramsey,88.0,3,00
20/21,Serie A,Early Rounds,9/27/20,Away,Juventus FC,AS Roma,2-02,CF,Penalty,Unknown,44.0,2,02
20/21,Serie A,Early Rounds,9/27/20,Away,Juventus FC,AS Roma,2-02,CF,Header,Danilo,69.0,2,02
20/21,Serie A,Early Rounds,11/01/20,Away,Juventus FC,Spezia Calcio,1-04,CF,Right-footed shot,alvaro Morata,59.0,1,04
20/21,Serie A,Early Rounds,11/01/20,Away,Juventus FC,Spezia Calcio,1-04,CF,Penalty,Unknown,76.0,1,04
20/21,Serie A,Early Rounds,11/08/20,Away,Juventus FC,SS Lazio,1-01,LW,Right-footed shot,Juan Cuadrado,15.0,1,01
20/21,Serie A,Early Rounds,11/21/20,Home,Juventus FC,Cagliari Calcio,2-00,CF,Right-footed shot,alvaro Morata,38.0,2,00
20/21,Serie A,Early Rounds,11/21/20,Home,Juventus FC,Cagliari Calcio,2-00,CF,Right-footed shot,Merih Demiral,42.0,2,00
20/21,UEFA Champions League,Group Stage,11/24/20,Home,Juventus FC,Ferencvarosi TC,2-01,CF,Left-footed shot,Juan Cuadrado,35.0,2,01
20/21,UEFA Champions League,Group Stage,12/02/20,Home,Juventus FC,Dynamo Kyiv,3-00,CF,Right-footed shot,alvaro Morata,57.0,3,00
20/21,UEFA Champions League,Group Stage,12/08/20,Away,Juventus FC,FC Barcelona,0-03,CF,Penalty,Unknown,13.0,0,03
20/21,UEFA Champions League,Group Stage,12/08/20,Away,Juventus FC,FC Barcelona,0-03,CF,Penalty,Unknown,52.0,0,03
20/21,Serie A,Early Rounds,12/13/20,Away,Juventus FC,Genoa CFC,1-03,CF,Penalty,Unknown,78.0,1,03
20/21,Serie A,Early Rounds,12/13/20,Away,Juventus FC,Genoa CFC,1-03,CF,Penalty,Unknown,89.0,1,03
20/21,Serie A,Early Rounds,12/19/20,Away,Juventus FC,Parma Calcio 1913,0-04,CF,Header,alvaro Morata,26.0,0,04
20/21,Serie A,Early Rounds,12/19/20,Away,Juventus FC,Parma Calcio 1913,0-04,CF,Left-footed shot,Aaron Ramsey,48.0,0,04
20/21,Serie A,Early Rounds,01/03/21,Home,Juventus FC,Udinese Calcio,4-01,CF,Right-footed shot,Aaron Ramsey,31.0,4,01
20/21,Serie A,Early Rounds,01/03/21,Home,Juventus FC,Udinese Calcio,4-01,CF,Left-footed shot,Rodrigo Bentancur,70.0,4,01
20/21,Serie A,Early Rounds,01/10/21,Home,Juventus FC,US Sassuolo,3-01,CF,Right-footed shot,Danilo,92.0,3,01
20/21,Supercoppa Italiana,Final,1/20/21,Home,Juventus FC,SSC Napoli,2-00,CF,Tap-in,Unknown,64.0,2,00
20/21,Italy Cup,Semi-Finals,02/02/21,Away,Juventus FC,Inter Milan,1-02,CF,Penalty,Unknown,26.0,1,02
20/21,Italy Cup,Semi-Finals,02/02/21,Away,Juventus FC,Inter Milan,1-02,CF,Left-footed shot,Unknown,35.0,1,02
20/21,Serie A,Early Rounds,02/06/21,Home,Juventus FC,AS Roma,2-00,CF,Left-footed shot,alvaro Morata,13.0,2,00
20/21,Serie A,Early Rounds,2/22/21,Home,Juventus FC,FC Crotone,3-00,CF,Header,Alex Sandro,38.0,3,00
20/21,Serie A,Early Rounds,2/22/21,Home,Juventus FC,FC Crotone,3-00,CF,Header,Aaron Ramsey,46.0,3,00
20/21,Serie A,Early Rounds,2/27/21,Away,Juventus FC,Hellas Verona,1-01,CF,Right-footed shot,Federico Chiesa,49.0,1,01
20/21,Serie A,Early Rounds,03/02/21,Home,Juventus FC,Spezia Calcio,3-00,CF,Counter attack goal,Rodrigo Bentancur,89.0,3,00
20/21,Serie A,Early Rounds,3/14/21,Away,Juventus FC,Cagliari Calcio,1-03,CF,Header,Juan Cuadrado,10.0,1,03
20/21,Serie A,Early Rounds,3/14/21,Away,Juventus FC,Cagliari Calcio,1-03,CF,Penalty,Unknown,25.0,1,03
20/21,Serie A,Early Rounds,3/14/21,Away,Juventus FC,Cagliari Calcio,1-03,CF,Left-footed shot,Federico Chiesa,32.0,1,03
20/21,Serie A,Early Rounds,04/03/21,Away,Juventus FC,Torino FC,2-02,CF,Header,Giorgio Chiellini,79.0,2,02
20/21,Serie A,Early Rounds,04/07/21,Home,Juventus FC,SSC Napoli,2-01,CF,Right-footed shot,Federico Chiesa,13.0,2,01
20/21,Serie A,Early Rounds,05/02/21,Away,Juventus FC,Udinese Calcio,1-02,CF,Penalty,Unknown,83.0,1,02
20/21,Serie A,Early Rounds,05/02/21,Away,Juventus FC,Udinese Calcio,1-02,CF,Header,Adrien Rabiot,89.0,1,02
20/21,Serie A,Early Rounds,05/12/21,Away,Juventus FC,US Sassuolo,1-03,CF,Left-footed shot,Unknown,45.0,1,03
20/21,Serie A,Early Rounds,5/15/21,Home,Juventus FC,Inter Milan,3-02,CF,Penalty rebound,Unknown,24.0,3,02
21/22,Premier League,Early Rounds,09/11/21,Home,Manchester United,Newcastle United,4-01,CF,Tap-in,Unknown,47.0,4,01
21/22,Premier League,Early Rounds,09/11/21,Home,Manchester United,Newcastle United,4-01,CF,Left-footed shot,Luke Shaw,62.0,4,01
21/22,UEFA Champions League,Group Stage,9/14/21,Away,Manchester United,BSC Young Boys,2-01,CF,Right-footed shot,Bruno Fernandes,13.0,2,01
21/22,Premier League,Early Rounds,9/19/21,Away,Manchester United,West Ham United,1-02,CF,Right-footed shot,Unknown,35.0,1,02
21/22,UEFA Champions League,Group Stage,9/29/21,Home,Manchester United,Villarreal CF,2-01,CF,Right-footed shot,Jesse Lingard,95.0,2,01
21/22,UEFA Champions League,Group Stage,10/20/21,Home,Manchester United,Atalanta BC,3-02,CF,Header,Luke Shaw,81.0,3,02
21/22,Premier League,Early Rounds,10/30/21,Away,Manchester United,Tottenham Hotspur,0-03,CF,Right-footed shot,Bruno Fernandes,39.0,0,03
21/22,UEFA Champions League,Group Stage,11/02/21,Away,Manchester United,Atalanta BC,2-02,CF,Right-footed shot,Bruno Fernandes,46.0,2,02
21/22,UEFA Champions League,Group Stage,11/02/21,Away,Manchester United,Atalanta BC,2-02,CF,Right-footed shot,Mason Greenwood,91.0,2,02
21/22,UEFA Champions League,Group Stage,11/23/21,Away,Manchester United,Villarreal CF,0-02,CF,Right-footed shot,Unknown,78.0,0,02
21/22,Premier League,Early Rounds,12/02/21,Home,Manchester United,Arsenal FC,3-02,CF,Right-footed shot,Marcus Rashford,52.0,3,02
21/22,Premier League,Early Rounds,12/02/21,Home,Manchester United,Arsenal FC,3-02,CF,Penalty,Unknown,70.0,3,02
21/22,Premier League,Early Rounds,12/11/21,Away,Manchester United,Norwich City,0-01,CF,Penalty,Unknown,75.0,0,01
21/22,Premier League,Early Rounds,12/30/21,Home,Manchester United,Burnley FC,3-01,CF,Right-footed shot,Unknown,35.0,3,01
21/22,Premier League,Early Rounds,2/15/22,Home,Manchester United,Brighton & Hove Albion,2-00,CF,Right-footed shot,Scott McTominay,51.0,2,00
21/22,Premier League,Early Rounds,03/12/22,Home,Manchester United,Tottenham Hotspur,3-02,CF,Right-footed shot,Fred,12.0,3,02
21/22,Premier League,Early Rounds,03/12/22,Home,Manchester United,Tottenham Hotspur,3-02,CF,Right-footed shot,Jadon Sancho,38.0,3,02
21/22,Premier League,Early Rounds,03/12/22,Home,Manchester United,Tottenham Hotspur,3-02,CF,Header,Alex Telles,81.0,3,02
21/22,Premier League,Early Rounds,4/16/22,Home,Manchester United,Norwich City,3-02,CF,Right-footed shot,Anthony Elanga,7.0,3,02
21/22,Premier League,Early Rounds,4/16/22,Home,Manchester United,Norwich City,3-02,CF,Header,Alex Telles,32.0,3,02
21/22,Premier League,Early Rounds,4/16/22,Home,Manchester United,Norwich City,3-02,CF,Direct free kick,Unknown,76.0,3,02
21/22,Premier League,Early Rounds,4/23/22,Away,Manchester United,Arsenal FC,3-01,CF,Left-footed shot,Nemanja MatiÄ‡,34.0,3,01
21/22,Premier League,Early Rounds,4/28/22,Home,Manchester United,Chelsea FC,1-01,CF,Right-footed shot,Nemanja MatiÄ‡,62.0,1,01
21/22,Premier League,Early Rounds,05/02/22,Home,Manchester United,Brentford FC,3-00,CF,Penalty,Unknown,61.0,3,00
22/23,Europa League,Group Stage,9/15/22,Away,Manchester United,FC Sheriff,0-02,CF,Penalty,Unknown,39.0,0,02
22/23,Premier League,Early Rounds,10/9/22,Away,Manchester United,Everton FC,1-2,Unknown,Counter attack goal,Casemiro,44.0,1,2
22/23,Europa League,Group Stage,10/27/22,Home,Manchester United,FC Sheriff,3-0,CF,Left-footed shot,Unknown,81.0,3,0
22/23,Saudi Pro League,Early Rounds,2/3/23,Away,Al-Nassr FC,Al-Fateh,2-2,CF,Penalty,Unknown,93.0,2,2
22/23,Saudi Pro League,Early Rounds,2/9/23,Away,Al-Nassr FC,Al-Wehda FC,0-4,CF,Left-footed shot,Abdulrahman Ghareeb,21.0,0,4
22/23,Saudi Pro League,Early Rounds,2/9/23,Away,Al-Nassr FC,Al-Wehda FC,0-4,CF,Right-footed shot,Sami Al-Najei,40.0,0,4
22/23,Saudi Pro League,Early Rounds,2/9/23,Away,Al-Nassr FC,Al-Wehda FC,0-4,CF,Penalty,Unknown,53.0,0,4
22/23,Saudi Pro League,Early Rounds,2/9/23,Away,Al-Nassr FC,Al-Wehda FC,0-4,CF,Right-footed shot,Unknown,61.0,0,4
22/23,Saudi Pro League,Early Rounds,2/25/23,Away,Al-Nassr FC,Damac FC,0-3,CF,Penalty,,18.0,0,3
22/23,Saudi Pro League,Early Rounds,2/25/23,Away,Al-Nassr FC,Damac FC,0-3,CF,Left-footed shot,Sultan Al-Ghannam,23.0,0,3
22/23,Saudi Pro League,Early Rounds,2/25/23,Away,Al-Nassr FC,Damac FC,0-3,CF,Counter attack goal,Ayman Yahya,44.0,0,3
22/23,Saudi Pro League,Early Rounds,3/18/23,Home,Al-Nassr FC,Abha Club,2-1,CF,Direct free kick,Unknown,78.0,2,1
